Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783610689,10,,Aggregated,0.400000,0.000000,5700,19000,23000,23000,24000,28000,30000,30000,30000,30000,30000,49,0,5700.0,10113.014638774353,7.899400021415204,29666.151499957778,2687.3673469387754
1783610690,10,,Aggregated,0.400000,0.000000,5700,19000,23000,23000,24000,28000,30000,30000,30000,30000,30000,49,0,5700.0,10113.014638774353,7.899400021415204,29666.151499957778,2687.3673469387754
1783610691,10,,Aggregated,0.400000,0.000000,5700,19000,23000,23000,24000,28000,30000,30000,30000,30000,30000,49,0,5700.0,10113.014638774353,7.899400021415204,29666.151499957778,2687.3673469387754
1783610692,10,,Aggregated,0.400000,0.000000,7700,19000,23000,23000,25000,28000,30000,30000,30000,30000,30000,50,0,5700.0,10414.401881998638,7.899400021415204,29666.151499957778,2719.4
1783610693,10,,Aggregated,0.400000,0.000000,7700,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,51,0,7700.0,10620.401564703607,7.899400021415204,29666.151499957778,2760.8039215686276
1783610694,10,,Aggregated,0.400000,0.000000,7700,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,51,0,7700.0,10620.401564703607,7.899400021415204,29666.151499957778,2760.8039215686276
1783610695,10,,Aggregated,0.300000,0.000000,7800,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,52,0,7700.0,10781.486692305547,7.899400021415204,29666.151499957778,2760.846153846154
1783610696,10,,Aggregated,0.400000,0.000000,7800,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,53,0,7800.0,10931.801752827596,7.899400021415204,29666.151499957778,2760.8867924528304
1783610697,10,,Aggregated,0.400000,0.000000,7800,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,53,0,7800.0,10931.801752827596,7.899400021415204,29666.151499957778,2760.8867924528304
1783610698,10,,Aggregated,0.500000,0.000000,8700,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,54,0,7800.0,11107.857455553367,7.899400021415204,29666.151499957778,2793.0185185185187
1783610699,10,,Aggregated,0.500000,0.000000,8700,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,54,0,7800.0,11107.857455553367,7.899400021415204,29666.151499957778,2793.0185185185187
1783610700,10,,Aggregated,0.500000,0.000000,8700,19000,23000,23000,24000,28000,29000,30000,30000,30000,30000,54,0,7800.0,11107.857455553367,7.899400021415204,29666.151499957778,2793.0185185185187
1783610701,10,,Aggregated,0.500000,0.000000,8700,20000,23000,23000,24000,28000,29000,30000,30000,30000,30000,55,0,8700.0,11289.793825452216,7.899400021415204,29666.151499957778,2822.818181818182
1783610702,10,,Aggregated,0.500000,0.000000,8700,20000,23000,23000,24000,28000,29000,30000,30000,30000,30000,55,0,8700.0,11289.793825452216,7.899400021415204,29666.151499957778,2822.818181818182
1783610703,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,57,0,8700.0,11247.098356138164,7.899400021415204,29666.151499957778,3095.0526315789475
1783610704,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,57,0,8700.0,11247.098356138164,7.899400021415204,29666.151499957778,3095.0526315789475
1783610705,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,57,0,8700.0,11247.098356138164,7.899400021415204,29666.151499957778,3095.0526315789475
1783610706,10,,Aggregated,0.600000,0.000000,11000,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,58,0,8700.0,11436.2409206876,7.899400021415204,29666.151499957778,3098.051724137931
1783610707,10,,Aggregated,0.600000,0.000000,11000,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,58,0,8700.0,11436.2409206876,7.899400021415204,29666.151499957778,3098.051724137931
1783610708,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,59,0,8700.0,11245.515189828131,7.899400021415204,29666.151499957778,3076.7966101694915
1783610709,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,59,0,8700.0,11245.515189828131,7.899400021415204,29666.151499957778,3076.7966101694915
1783610710,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,28000,29000,30000,30000,30000,30000,59,0,8700.0,11245.515189828131,7.899400021415204,29666.151499957778,3076.7966101694915
1783610711,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,61,0,8700.0,11254.87482622762,7.899400021415204,29666.151499957778,3292.344262295082
1783610712,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,62,0,7800.0,11073.628403223871,7.899400021415204,29666.151499957778,3505.935483870968
1783610713,10,,Aggregated,0.500000,0.000000,8700,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,62,0,7800.0,11073.628403223871,7.899400021415204,29666.151499957778,3505.935483870968
1783610714,10,,Aggregated,0.600000,0.000000,8700,20000,23000,23000,24000,27000,29000,30000,30000,30000,30000,64,0,7800.0,11089.436357809973,7.899400021415204,29666.151499957778,3490.859375
1783610715,10,,Aggregated,0.700000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,66,0,7700.0,10753.805816664792,7.899400021415204,29666.151499957778,3662.151515151515
1783610716,10,,Aggregated,0.700000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,68,0,7700.0,10758.319394115995,7.899400021415204,29666.151499957778,3614.544117647059
1783610717,10,,Aggregated,0.700000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,68,0,7700.0,10758.319394115995,7.899400021415204,29666.151499957778,3614.544117647059
1783610718,10,,Aggregated,0.700000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,68,0,7700.0,10758.319394115995,7.899400021415204,29666.151499957778,3614.544117647059
1783610719,10,,Aggregated,0.700000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,68,0,7700.0,10758.319394115995,7.899400021415204,29666.151499957778,3614.544117647059
1783610720,10,,Aggregated,0.900000,0.000000,7800,20000,22000,23000,24000,27000,29000,30000,30000,30000,30000,69,0,7800.0,10965.479727534988,7.899400021415204,29666.151499957778,3617.2028985507245
1783610721,10,,Aggregated,0.900000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,70,0,7800.0,11150.962109998467,7.899400021415204,29666.151499957778,3627.1428571428573
1783610722,10,,Aggregated,0.900000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,70,0,7800.0,11150.962109998467,7.899400021415204,29666.151499957778,3627.1428571428573
1783610723,10,,Aggregated,0.900000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,70,0,7800.0,11150.962109998467,7.899400021415204,29666.151499957778,3627.1428571428573
1783610724,10,,Aggregated,0.900000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,70,0,7800.0,11150.962109998467,7.899400021415204,29666.151499957778,3627.1428571428573
1783610725,10,,Aggregated,0.900000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,70,0,7800.0,11150.962109998467,7.899400021415204,29666.151499957778,3627.1428571428573
1783610726,10,,Aggregated,0.800000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,71,0,8700.0,11370.16195915295,7.899400021415204,29666.151499957778,3640.957746478873
1783610727,10,,Aggregated,0.800000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,71,0,8700.0,11370.16195915295,7.899400021415204,29666.151499957778,3640.957746478873
1783610728,10,,Aggregated,0.800000,0.000000,8700,21000,23000,23000,24000,27000,29000,30000,30000,30000,30000,71,0,8700.0,11370.16195915295,7.899400021415204,29666.151499957778,3640.957746478873
1783610729,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,72,0,8700.0,11653.597972219965,7.899400021415204,31777.554899977986,3660.9444444444443
1783610730,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,72,0,8700.0,11653.597972219965,7.899400021415204,31777.554899977986,3660.9444444444443
1783610731,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,73,0,11000.0,11841.89053561398,7.899400021415204,31777.554899977986,3662.7397260273974
1783610732,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,73,0,11000.0,11841.89053561398,7.899400021415204,31777.554899977986,3662.7397260273974
1783610733,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,73,0,11000.0,11841.89053561398,7.899400021415204,31777.554899977986,3662.7397260273974
1783610734,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,73,0,11000.0,11841.89053561398,7.899400021415204,31777.554899977986,3662.7397260273974
1783610735,10,,Aggregated,0.300000,0.000000,11000,21000,23000,23000,25000,28000,30000,32000,32000,32000,32000,73,0,11000.0,11841.89053561398,7.899400021415204,31777.554899977986,3662.7397260273974
